trading_account_id,open_date,last_execution_date,close_date,symbol,trade_position,currency,underlying,asset_type,open_price,close_price,base_gross_pnl,base_net_pnl,total_quantity,total_buy_quantity,total_sell_quantity,remaining_quantity,total_executions,total_duration,total_commission,total_fees,stop_loss,profit_target,tags,notes
ŁukaszK,2023-05-05T09:59:00-0400,2023-05-05T13:55:24-0400,2023-05-05T13:55:24-0400,MESM23,long,USD,MES,future,4126.25,4143.25,107.5,104.42,4.0,2.0,2.0,0.0,3,14184.0,3.08,0.0,4121.75,4130.75,ML (A),
ŁukaszK,2023-07-17T10:27:29-0400,2023-07-17T12:19:25-0400,2023-07-17T12:19:25-0400,ESU23,long,USD,ES,future,4545.0,4549.0,200.0,200.0,2.0,1.0,1.0,0.0,2,6716.0,0.0,0.0,4541.0,4556.0,"ML (A),OpenTrade",
ŁukaszK,2023-05-22T04:39:21-0400,2023-05-22T06:50:01-0400,2023-05-22T06:50:01-0400,MESM23,long,USD,MES,future,4204.5,4200.75,-56.25,-60.87,6.0,3.0,3.0,0.0,2,7840.0,4.62,0.0,4200.75,4212.0,ML (A+),
ŁukaszK,2023-12-18T09:32:47-0500,2023-12-18T10:12:54-0500,2023-12-18T10:12:54-0500,MESH24,long,USD,MES,future,4784.25,4786.0,67.5,67.5,8.0,4.0,4.0,0.0,3,2407.0,0.0,0.0,N/A,N/A,ML (A),<br>
ŁukaszK,2023-06-23T03:06:08-0400,2023-06-23T03:19:39-0400,2023-06-23T03:19:39-0400,MESU23,long,USD,MES,future,4408.0,4409.5,37.5,32.88,6.0,3.0,3.0,0.0,3,811.0,4.62,0.0,4404.0,4418.0,MRL (A),
ŁukaszK,2023-08-11T09:45:11-0400,2023-08-11T09:54:00-0400,2023-08-11T09:54:00-0400,MESU23,short,USD,MES,future,4463.0,4467.25,-42.5,-45.58,4.0,2.0,2.0,0.0,2,529.0,3.08,0.0,4467.25,4452.0,MS (A),
ŁukaszK,2023-04-18T10:17:08-0400,2023-04-18T10:25:11-0400,2023-04-18T10:25:11-0400,ESM23,long,USD,ES,future,4181.5,4178.0,-175.0,-179.58,2.0,1.0,1.0,0.0,2,483.0,4.58,0.0,4178.0,4193.0,"MRL (B),Pre-empt",
ŁukaszK,2023-12-18T10:17:20-0500,2023-12-18T10:45:55-0500,2023-12-18T10:45:55-0500,MESH24,long,USD,MES,future,4789.0,4785.5,-35.0,-35.0,4.0,2.0,2.0,0.0,3,1715.0,0.0,0.0,N/A,N/A,ML (A),<br>
ŁukaszK,2023-11-09T10:40:11-0500,2023-11-09T10:51:11-0500,2023-11-09T10:51:11-0500,MESZ23,short,USD,MES,future,4388.0,4392.0,-40.0,-43.08,4.0,2.0,2.0,0.0,2,660.0,3.08,0.0,4392.0,4380.0,MS (A),
ŁukaszK,2023-06-06T10:41:53-0400,2023-06-06T11:21:52-0400,2023-06-06T11:21:52-0400,MESM23,long,USD,MES,future,4284.0,4285.0,73.75,69.13,6.0,3.0,3.0,0.0,4,2399.0,4.62,0.0,4280.25,4293.0,ML (A),
ŁukaszK,2023-04-20T12:42:20-0400,2023-04-20T12:46:00-0400,2023-04-20T12:46:00-0400,ESM23,long,USD,ES,future,4163.0,4163.75,37.5,32.92,2.0,1.0,1.0,0.0,2,220.0,4.58,0.0,N/A,N/A,"ML (C),Pre-empt",
ŁukaszK,2023-06-27T03:00:56-0400,2023-06-27T04:30:55-0400,2023-06-27T04:30:55-0400,MESU23,long,USD,MES,future,4383.25,4379.5,-56.25,-60.87,6.0,3.0,3.0,0.0,2,5399.0,4.62,0.0,4379.5,4391.0,ML (A+),
ŁukaszK,2023-05-17T15:05:16-0400,2023-05-17T15:20:27-0400,2023-05-17T15:20:27-0400,MESM23,long,USD,MES,future,4169.5,4171.0,15.0,11.92,4.0,2.0,2.0,0.0,2,911.0,3.08,0.0,4165.5,4182.5,ML (A),
