date,symbol,side,currency,underlying,asset_type,price,quantity,commission,fees,stop_loss,profit_target,tags,notes,spread_id
2023-05-05T09:59:00-0400,MESM23,buy,USD,MES,future,4126.25,2.0,1.54,0.0,4121.75,4130.75,ML (A),,0Cyq6WFs
2023-05-05T13:55:24-0400,MESM23,sell,USD,MES,future,4143.25,1.0,0.77,0.0,4121.75,4130.75,ML (A),,0Cyq6WFs
2023-05-05T10:23:55-0400,MESM23,sell,USD,MES,future,4130.75,1.0,0.77,0.0,4121.75,4130.75,ML (A),,0Cyq6WFs
2023-07-17T10:27:29-0400,ESU23,buy,USD,ES,future,4545.0,1.0,0.0,0.0,4541.0,4556.0,"ML (A),OpenTrade",,0lyq4zWB
2023-07-17T12:19:25-0400,ESU23,sell,USD,ES,future,4549.0,1.0,0.0,0.0,4541.0,4556.0,"ML (A),OpenTrade",,0lyq4zWB
2023-05-22T04:39:21-0400,MESM23,buy,USD,MES,future,4204.5,3.0,2.31,0.0,4200.75,4212.0,ML (A+),,0mu9BSI4
2023-05-22T06:50:01-0400,MESM23,sell,USD,MES,future,4200.75,3.0,2.31,0.0,4200.75,4212.0,ML (A+),,0mu9BSI4
2023-12-18T09:32:47-0500,MESH24,buy,USD,MES,future,4784.25,4.0,0.0,0.0,N/A,N/A,ML (A),<br>,0TZvzn74
2023-12-18T10:12:54-0500,MESH24,sell,USD,MES,future,4786.0,2.0,0.0,0.0,N/A,N/A,ML (A),<br>,0TZvzn74
2023-12-18T10:00:56-0500,MESH24,sell,USD,MES,future,4789.25,2.0,0.0,0.0,N/A,N/A,ML (A),<br>,0TZvzn74
2023-06-23T03:06:08-0400,MESU23,buy,USD,MES,future,4408.0,3.0,2.31,0.0,4404.0,4418.0,MRL (A),,19BX7YUZ
2023-06-23T03:15:03-0400,MESU23,sell,USD,MES,future,4411.0,2.0,1.54,0.0,4404.0,4418.0,MRL (A),,19BX7YUZ
2023-06-23T03:19:39-0400,MESU23,sell,USD,MES,future,4409.5,1.0,0.77,0.0,4404.0,4418.0,MRL (A),,19BX7YUZ
2023-08-11T09:54:00-0400,MESU23,buy,USD,MES,future,4467.25,2.0,1.54,0.0,4467.25,4452.0,MS (A),,1dXNU6JA
2023-08-11T09:45:11-0400,MESU23,sell,USD,MES,future,4463.0,2.0,1.54,0.0,4467.25,4452.0,MS (A),,1dXNU6JA
2023-04-18T10:25:11-0400,ESM23,sell,USD,ES,future,4178.0,1.0,2.29,0.0,4178.0,4193.0,"MRL (B),Pre-empt",,1fpCt71H
2023-04-18T10:17:08-0400,ESM23,buy,USD,ES,future,4181.5,1.0,2.29,0.0,4178.0,4193.0,"MRL (B),Pre-empt",,1fpCt71H
2023-12-18T10:17:23-0500,MESH24,buy,USD,MES,future,4789.0,1.0,0.0,0.0,N/A,N/A,ML (A),<br>,1jrR2DEL
2023-12-18T10:45:55-0500,MESH24,sell,USD,MES,future,4785.5,2.0,0.0,0.0,N/A,N/A,ML (A),<br>,1jrR2DEL
2023-12-18T10:17:20-0500,MESH24,buy,USD,MES,future,4789.0,1.0,0.0,0.0,N/A,N/A,ML (A),<br>,1jrR2DEL
2023-11-09T10:40:11-0500,MESZ23,sell,USD,MES,future,4388.0,2.0,1.54,0.0,4392.0,4380.0,MS (A),,1RXbIhof
2023-11-09T10:51:11-0500,MESZ23,buy,USD,MES,future,4392.0,2.0,1.54,0.0,4392.0,4380.0,MS (A),,1RXbIhof
2023-06-06T11:21:52-0400,MESM23,sell,USD,MES,future,4285.0,1.0,0.77,0.0,4280.25,4293.0,ML (A),,2FGGfqep
2023-06-06T10:52:43-0400,MESM23,sell,USD,MES,future,4291.0,1.0,0.77,0.0,4280.25,4293.0,ML (A),,2FGGfqep
2023-06-06T10:41:53-0400,MESM23,buy,USD,MES,future,4284.0,3.0,2.31,0.0,4280.25,4293.0,ML (A),,2FGGfqep
2023-06-06T10:45:42-0400,MESM23,sell,USD,MES,future,4290.75,1.0,0.77,0.0,4280.25,4293.0,ML (A),,2FGGfqep
2023-04-20T12:42:20-0400,ESM23,buy,USD,ES,future,4163.0,1.0,2.29,0.0,N/A,N/A,"ML (C),Pre-empt",,2QEMclhI
2023-04-20T12:46:00-0400,ESM23,sell,USD,ES,future,4163.75,1.0,2.29,0.0,N/A,N/A,"ML (C),Pre-empt",,2QEMclhI
2023-06-27T04:30:55-0400,MESU23,sell,USD,MES,future,4379.5,3.0,2.31,0.0,4379.5,4391.0,ML (A+),,2qFFTMFo
2023-06-27T03:00:56-0400,MESU23,buy,USD,MES,future,4383.25,3.0,2.31,0.0,4379.5,4391.0,ML (A+),,2qFFTMFo
2023-05-17T15:20:27-0400,MESM23,sell,USD,MES,future,4171.0,2.0,1.54,0.0,4165.5,4182.5,ML (A),,2ze0RlnJ
2023-05-17T15:05:16-0400,MESM23,buy,USD,MES,future,4169.5,2.0,1.54,0.0,4165.5,4182.5,ML (A),,2ze0RlnJ
2023-06-27T11:04:45-0400,MESU23,sell,USD,MES,future,4385.0,1.0,0.77,0.0,4383.5,4495.0,ML (A),,2zOcBpWk
2023-06-27T10:35:43-0400,MESU23,buy,USD,MES,future,4386.25,3.0,2.31,0.0,4383.5,4495.0,ML (A),,2zOcBpWk
2023-06-27T11:00:37-0400,MESU23,sell,USD,MES,future,4391.0,2.0,1.54,0.0,4383.5,4495.0,ML (A),,2zOcBpWk
2023-11-09T09:48:58-0500,MESZ23,sell,USD,MES,future,4395.5,2.0,1.54,0.0,4399.5,4380.0,MS (A),,3eBCHf3f
2023-11-09T09:52:01-0500,MESZ23,buy,USD,MES,future,4399.5,2.0,1.54,0.0,4399.5,4380.0,MS (A),,3eBCHf3f
2023-10-19T10:56:45-0400,MESZ23,buy,USD,MES,future,4326.0,4.0,3.08,0.0,4335.75,4326.0,MS (A),<br>,3KwVs8US
2023-10-19T10:37:14-0400,MESZ23,sell,USD,MES,future,4331.75,8.0,6.16,0.0,4335.75,4326.0,MS (A),<br>,3KwVs8US
2023-10-19T11:25:01-0400,MESZ23,buy,USD,MES,future,4328.5,4.0,3.08,0.0,4335.75,4326.0,MS (A),<br>,3KwVs8US
2023-11-08T10:01:07-0500,MESZ23,sell,USD,MES,future,4401.0,1.0,0.77,0.0,N/A,N/A,ML (A),,3M2TWDDY
2023-11-08T10:01:07-0500,MESZ23,sell,USD,MES,future,4401.0,1.0,0.77,0.0,N/A,N/A,ML (A),,3M2TWDDY
2023-11-08T10:00:03-0500,MESZ23,buy,USD,MES,future,4404.75,1.0,0.77,0.0,N/A,N/A,ML (A),,3M2TWDDY
2023-11-08T10:00:03-0500,MESZ23,buy,USD,MES,future,4404.75,1.0,0.77,0.0,N/A,N/A,ML (A),,3M2TWDDY
2023-08-01T10:29:28-0400,ESU23,sell,USD,ES,future,4594.75,1.0,2.29,0.0,N/A,N/A,MS (A),,3x0zVxZq
2023-08-01T10:35:25-0400,ESU23,buy,USD,ES,future,4598.75,1.0,2.29,0.0,N/A,N/A,MS (A),,3x0zVxZq
2023-05-09T06:35:01-0400,MESM23,buy,USD,MES,future,4138.5,2.0,1.54,0.0,4135.5,4145.0,MRL (A),,3zp0f4Kk
2023-05-09T07:24:18-0400,MESM23,sell,USD,MES,future,4135.5,2.0,1.54,0.0,4135.5,4145.0,MRL (A),,3zp0f4Kk
2023-04-11T10:50:01-0400,ESM23,buy,USD,ES,future,4134.25,1.0,2.29,0.0,4131.0,4138.75,MRL (A),,4fiJSQon
2023-04-11T11:19:29-0400,ESM23,sell,USD,ES,future,4138.75,1.0,2.29,0.0,4131.0,4138.75,MRL (A),,4fiJSQon
2023-10-06T10:21:53-0400,MESZ23,buy,USD,MES,future,4257.5,6.0,4.62,0.0,4253.5,4279.0,MRL (B),<br>,4hpZLvIe
2023-10-06T10:30:07-0400,MESZ23,sell,USD,MES,future,4279.0,3.0,2.31,0.0,4253.5,4279.0,MRL (B),<br>,4hpZLvIe
2023-10-06T10:23:50-0400,MESZ23,sell,USD,MES,future,4266.0,3.0,2.31,0.0,4253.5,4279.0,MRL (B),<br>,4hpZLvIe
2023-10-05T10:15:51-0400,MESZ23,sell,USD,MES,future,4276.5,6.0,4.62,0.0,4280.5,4266.0,MS (B),<br>,4NTeD8nC
2023-10-05T10:17:57-0400,MESZ23,buy,USD,MES,future,4280.25,6.0,4.62,0.0,4280.5,4266.0,MS (B),<br>,4NTeD8nC
2023-05-18T09:55:23-0400,MESM23,sell,USD,MES,future,4166.0,2.0,1.54,0.0,4166.0,4182.5,ML (B),,4r4d0pPx
2023-05-18T09:51:59-0400,MESM23,buy,USD,MES,future,4169.75,2.0,1.54,0.0,4166.0,4182.5,ML (B),,4r4d0pPx
2023-04-20T11:30:00-0400,ESM23,buy,USD,ES,future,4156.5,1.0,2.29,0.0,4152.75,4168.25,ML (B),,4TyQHvbj
2023-04-20T11:34:56-0400,ESM23,sell,USD,ES,future,4152.75,1.0,2.29,0.0,4152.75,4168.25,ML (B),,4TyQHvbj
2023-05-31T10:55:34-0400,MESM23,buy,USD,MES,future,4182.75,3.0,2.31,0.0,4182.75,4170.0,MS (A),,5eiayNPt
2023-05-31T10:48:35-0400,MESM23,sell,USD,MES,future,4179.0,3.0,2.31,0.0,4182.75,4170.0,MS (A),,5eiayNPt
2023-07-28T12:32:02-0400,ESU23,sell,USD,ES,future,4613.0,1.0,1.0,0.0,N/A,N/A,ML (A),,5hov8RC6
2023-07-28T12:11:32-0400,ESU23,buy,USD,ES,future,4609.5,1.0,2.29,0.0,N/A,N/A,ML (A),,5hov8RC6
2023-11-08T09:51:35-0500,MESZ23,buy,USD,MES,future,4407.0,1.0,0.0,0.0,4403.0,4416.0,ML (A),<br>,5Qn5aWbf
2023-11-08T09:58:36-0500,MESZ23,sell,USD,MES,future,4403.0,1.0,0.0,0.0,4403.0,4416.0,ML (A),<br>,5Qn5aWbf
2023-11-08T09:58:36-0500,MESZ23,sell,USD,MES,future,4403.0,1.0,0.0,0.0,4403.0,4416.0,ML (A),<br>,5Qn5aWbf
2023-11-08T09:51:35-0500,MESZ23,buy,USD,MES,future,4407.0,1.0,0.0,0.0,4403.0,4416.0,ML (A),<br>,5Qn5aWbf
